,store,address,phone
105,신대방삼거리,서울 동작구 대방동 407-46,02 -823-1991
106,흑석1호,서울 동작구 흑석동 180-6,02 -814-3377
107,도화(서울),서울 마포구 도화동 55,02 -715-9987
108,망원2동,서울 마포구 망원동 482-9,02 -3143-5575
109,상암,서울 마포구 상암동 34-45,02 -309-2500
110,성산2동,서울 마포구 성산동 592,02 -373-9909
111,신공덕,서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호),02 -703-9919
112,신수,서울 마포구 신수동 451번지 세양청마루아파트 상가 101호,02 -704-6364
113,아현,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호,02 -363-9993
114,연남,서울 마포구 연남동 369-20,02 -323-1997
115,용강(서울),서울 마포구 대흥동 500-10,02 -711-9993
116,홍대,서울 마포구 서교동 371-3,02 -338-1300
117,독립문,서울 서대문구 냉천동 226,02 -392-6668
118,명지대,서울 서대문구 남가좌동 344-7,02 -305-9996
119,북가좌1호,서울 서대문구 북가좌동 385-8,"02 -304-3003,3053"
120,북아현1호,서울 서대문구 북아현동 1006,02 -393-5393
121,신촌,서울 서대문구 창천동 41-14,02 -312-1991
122,연희1호(서울),서울 서대문구 연희3동 344-26,02 -334-7999
123,홍은1호,서울 서대문구 홍제동 279-52,02 -396-0111
124,홍은사거리,서울 서대문구 홍제동 326-20,02 -3216-9989
125,강남역,서울 서초구 서초동 1309-6,02 -596-1991
126,반포1호,서울 서초구 반포동 1053 H동 26호,"02 -533-9279,9179"
127,반포삼호가든,서울 서초구 반포동 53-7,02 -591-9901
128,방배1호,서울 서초구 방배동 761-8,02 -535-1991
129,방배2호,서울 서초구 방배동 912-8,02 -523-9956
130,서초1호,서울 서초구 서초동 1357-56,02 -581-9949
131,서초2호,서울 서초구 서초동 1669-15,02 -588-9905
132,서초3호,서울 서초구 서초동 1579-5,02 -582-9233
133,양재1호,서울 서초구 양재동 327-2,02 -579-9245
134,우면,서울 서초구 우면동 720,02 -577-9288
135,잠원1호,서울 서초구 잠원동 15-4,02 -532-9992
136,금호역,서울 성동구 금호동4가 1380,02 -2296-5992
137,성수1호,서울 성동구 성수동2가 235-1,02 -464-9992
138,성수역,서울 성동구 성수동2가 289-251,02 -497-1991
139,왕십리1호,서울 성동구 하왕십리동 946-15,02 -2293-9985
140,왕십리도선,서울 성동구 홍익동 131-1,02 -2292-1991
141,용답,서울 성동구 용답동 60-18,02 -2215-1993
142,응봉,서울 성동구 응봉동 100,02 -2299-9965
143,한양대,서울 성동구 행당동 3-29,02 -2291-1992
144,길음뉴타운,서울 성북구 길음동 1284-17,02 -909-1997
145,동덕여대,서울 성북구 하월곡동 17-1,02 -913-8292
146,동소문,서울 성북구 동선동5가 147-13,02 -953-9922
147,보문역,서울 성북구 보문동2가 40,02 -921-3292
148,석관장위,서울 성북구 장위동 50-46,02 -918-9925
149,정릉1호,서울 성북구 정릉동 285-11,"02 -909-3311,9282"
150,정릉2호,서울 성북구 정릉동 175-24,02 -912-1333
151,종암,서울 성북구 종암동 3-544,02 -921-1112
152,한성대,서울 성북구 동소문동3가 31,02 -928-7003
153,가락2호,서울 송파구 가락동 75-7,"02 -448-9005,9045"
154,거여가락1호,서울 송파구 가락동 180-9,02 -406-9282
155,마천1호,서울 송파구 거여동 32-6,02 -404-9907~8
156,문정법조,서울 송파구 문정동 620 송파푸르지오시티 B09호,02 -3012-1992
157,방이2호,서울 송파구 방이동 59-1,02 -420-0495
158,방이역,서울 송파구 오금동 41-23 성암빌딩 1층,"02 -418-9599,9569"
159,석촌,서울 송파구 석촌동 163-1,02 -412-0799
160,송파1호,서울 송파구 송파동 147,02 -418-8892
161,올림픽공원,서울 송파구 풍납동 401-4,02 -478-5844~5
162,위례송파,서울 송파구 장지동 897,02 -2043-1991
163,잠실1호,서울 송파구 잠실동 177-3,02 -416-9939
164,잠실2호,서울 송파구 신천동 11-4,02 -417-9225
165,장지,서울 송파구 문정동 102-1,"02 -403-9225,9222"
166,헬리오시티,"서울 송파구 가락동 479 헬리오시티상가 A동 3,4호",02 -406-1991
167,목3동,서울 양천구 목동 722-8 호성빌딩,02 -2655-0027
168,목동1호,서울 양천구 목동 797-3,02 -2645-9925
169,목동2호,서울 양천구 목동 909-8 이화프라자 1층 101호,"02 -2643-9339,2643-9329"
170,목동오거리,서울 양천구 목동 940 현대아이파크상가 102,02 -2647-0092
171,목동파크자이,서울 양천구 신정동 171-68,02 -2039-0447
172,신월1호,서울 양천구 신월동 602-8,02 -2606-1992
173,신월2호,서울 양천구 신월7동 972-6,02 -2697-7272
174,신월사거리,서울 양천구 신월동 166-5,02 -2601-9992
175,신정1호,서울 양천구 신정동 1022-5,02 -2649-9282
176,신트리,서울 양천구 신정동 1267 목동뉴프라자,02 -2605-7892
177,오목교,서울 양천구 신정동 1296 아이파크 상가 1층,02 -2654-0833
178,화곡1호,서울 양천구 신월동 23-17,02 -2606-9961~2
179,당산,서울 영등포구 영등포동8가 35-1,02 -2672-9995
180,대림2호,서울 영등포구 대림동 783-1,02 -847-9939
181,문래,서울 영등포구 문래동3가 77-34,02 -2672-7676
182,선유도역,서울 영등포구 양평동4가 147-3,02 -2069-1991
183,신길1호,서울 영등포구 신길동 296-14,02 -833-6016
184,신길2호,서울 영등포구 신길7동 674,02 -849-0033
185,신풍역,서울 영등포구 신길동 445-2,02 -835-1223
186,여의도,서울 영등포구 여의도동 44-31,02 -769-1555
187,영등포1호,서울 영등포구 신길동 232-42,02 -841-7282
188,영등포역,서울 영등포구 영등포동3가 21-10,02 -2632-1992
189,동부이촌,서울 용산구 이촌1동 301-153 오성상가 103,02 -795-4747
190,보광,서울 용산구 보광동 217-13,02 -3785-1991
191,숙대,서울 용산구 청파동2가 90-11,02 -707-2577
192,신용산역,서울 용산구 한강로2가 122-5,02 -792-8722
193,용문,서울 용산구 용문동 28-26,02 -702-2858
194,한남,서울 용산구 한남동 828,02 -790-9290
195,후암,서울 용산구 후암동 244-59,02 -757-3535
196,구산역,서울 은평구 갈현동 464-14,02 -352-9949
197,녹번,서울 은평구 녹번동 82-47,02 -359-9200
198,대조,서울특별시 은평구 대조동 231,02 -355-6173~4
199,불광1동,서울 은평구 불광동 554-1 라비앙프라자1층 101호,02 -354-8592
200,신사1동,서울 은평구 신사동 29-13,02 -375-8295
201,역촌1호,서울 은평구 역촌동 55-1,02 -356-4326~7
202,연신내,서울 은평구 불광동 484-72,02 -382-1990
203,은평뉴타운,서울 은평구 진관동 22 은평뉴타운상가 914-103호,02 -359-9288
204,응암1동,서울 은평구 응암동 236-33,02 -389-9327
205,응암오거리,서울 은평구 응암동 595-51,02 -303-6882
206,증산(서울),서울 은평구 증산동 209-18,02 -376-9999
207,대학로,서울 종로구 명륜동4가 113-1,02 -3672-9292
208,숭인,서울 종로구 숭인2동 183-13,02 -765-5800
209,안국,서울 종로구 화동 138-7,02 -734-9992
210,종로1호,서울 종로구 관철동 13-13,02 -737-9292
211,평창,서울 종로구 평창동 158-1,02 -396-7942
212,동대문1호,서울 중구 창신동 464-6,02 -2231-9337
213,서울시청,서울 중구 태평로2가 55,02 -318-1992
214,신당1호,서울 중구 신당동 846,02 -2237-9952~3
215,약수,서울 중구 신당동 374-14,02 -2233-9917
216,망우본동,서울 중랑구 망우동 251-2,02 -433-1993
217,면목1호,서울 중랑구 면목본동 72-43,02 -494-9962~3
218,면목2호,서울 중랑구 면목2동 191-126,"02 -494-6282,496-6282"
219,묵동,서울 중랑구 묵동 175-2,02 -948-1992
220,사가정역,서울 중랑구 면목동 496-14,02 -2207-6543
221,상봉1호,서울 중랑구 상봉동 91-1,"02 -491-9738, 9"
222,신내1호,서울 중랑구 신내동 797,02 -2209-9980
223,중화,서울 중랑구 중화동 304-34,02 -433-1992
224,국제신도시,부산 강서구 명지동 3412-6,051-291-9993
225,명지법원네오,부산 강서구 명지동 3432-1 2동 102호,051-201-1991
226,명지신도시,부산 강서구 명지동 3256-5,051-271-7725
227,신호,부산 강서구 신호동 317-15,051-941-9207
228,지사,부산 강서구 지사동 1191-5,051-831-6880
229,구서1호,부산 금정구 구서2동 1024-1,051-516-8600
230,구서역,부산 금정구 구서동 457-23,051-583-2661
231,남산1호,부산 금정구 남산동 99-6,"051-581-9968,9264"
232,부곡1호,부산 금정구 부곡동 23-15,051-517-3009
233,부곡2호,부산 금정구 부곡1동 324-20,051-516-0111
234,부산대,부산 금정구 금강로 장전동 418-13,051-582-8588
235,서동1호,부산 금정구 서동 210-6,051-526-8292
236,장전1호,부산 금정구 장전동 134-19,051-514-8200
237,기장,부산 기장군 기장읍 동부리 134-2,051-722-9945
238,일광신도시,부산 기장군 일광면 삼성리 833-4,051-721-9400
239,정관1호,부산 기장군 정관읍 매학리 751-1,051-728-9233
240,정관2호,부산 기장군 모전리 747-7,051-728-5399
241,감만,부산 남구 감만1동 158-6,051-631-0900
242,대연1호,부산 남구 대연동 1013-8,051-639-9292
243,대연2호,부산 남구 대연동 52-7,051-621-4800
244,대연3호,부산 남구 대연동 1161-9,051-622-1991
245,메트로시티1호,부산 남구 용호동 176-30,051-625-8900
246,못골,부산 남구 대연동 1543-33,051-637-7733
247,문현1호,부산 남구 문현동 359-5,051-634-8292
248,문현2호,부산 남구 문현1동 127-56,051-646-5592
249,용호1호,부산 남구 용호동 555-19,051-626-3999
250,용호2호,부산 남구 동명로 126,051-715-7542
251,용호2호,부산 남구 용호동 396-1,051-715-7542
252,범일1호,부산 동구 범일동 833-2,051-642-8558
253,수정1호,부산 동구 수정동 295-3,051-469-8880
254,초량,부산 동구 초량동 132-1,051-441-9994
255,명륜(부산),부산 동래구 명륜1동 673-9,051-555-9224
256,명장1호,부산 동래구 명장동 26-24번지 국제아파트 상가 106호,"051-525-9233,9345"
257,복천,부산 동래구 복천동 476-1,"051-555-8592,556-8592"
258,사직1호(부산),부산 동래구 사직동 137-26,051-505-9289
259,사직2호,부산 동래구 사직동 89-16,051-501-9995
260,수안,부산 동래구 수안동 192-4,051-557-1990
261,안락2호,부산 동래구 안락동 670-13,051-526-7171
262,온천1호,부산 동래구 온천동 210-5번지,"051-555-2016,2017"
263,온천2호,부산 동래구 온천동 1411-47,051-506-4949
264,우방신세계,부산 동래구 안락동 471-41,051-521-8477~8
265,가야,부산 부산진구 가야동 478,051-894-9909
266,개금1호,부산 부산진구 개금동 2-1,"051-894-6071,6072"
267,개금2호,부산 부산진구 개금동 523-17,051-894-8292
268,당감,부산 부산진구 당감동 367-2,"051-891-9979,9980"
269,범천,부산 부산진구 범천동 1278-11,051-637-9982
270,부암1호,부산 부산진구 부암동 301-33,051-808-6060
271,서면,부산 부산진구 부전동 266-24,051-808-9981
272,양정,부산 부산진구 양정동 310-6,051-853-5458
273,연지,부산 부산진구 연지동 40-12,051-807-7701~2
274,전포1호,부산 부산진구 전포동 337-20,051-808-5592
275,초읍대공원,부산 부산진구 초읍동 288-6,"051-807-3492,3498"
276,구포1호,부산 북구 구포3동 1228-1,"051-363-9992,5793"
277,구포2호,부산 북구 구포동 932-35,051-341-1992
278,금곡(부산),부산 북구 금곡동 57-6,051-365-1991
279,덕천2호,부산 북구 덕천3동 781-2,"051-331-3179,343-3171"
280,덕천역,부산 북구 덕천동 402-12,051-336-1991
281,만덕1호,부산 북구 만덕동 294,051-341-7771
282,만덕2호,부산 북구 만덕3동 915-6,051-337-4300
283,화명1호,부산 북구 화명동 749,051-338-9933
284,화명3호,부산 북구 화명동 182-5(2층),051-362-7770
285,화명신도시,부산 북구 화명동 2266-1,051-342-9282
286,괘법,부산 사상구 괘법동 516-1,051-325-0090
287,덕포,부산 사상구 덕포동 767-10,051-303-5592
288,동서대,부산 사상구 주례동 55-176,051-325-2827
289,모라,부산 사상구 모라동 1349-4,051-322-9998
290,신주례,부산 사상구 주례2동 3-17,"051-315-9977,324-2626"
291,엄궁,부산 사상구 엄궁동 40-94,"051-311-7599,7598"
292,학장,부산 사상구 학장동 산149-16,051-313-9925
293,괴정1호,부산 사하구 괴정동 487-24,051-202-9951
294,다대1호,부산 사하구 다대2동 85-5,051-265-4446
295,다대2호,부산 사하구 다대동 1014,051-266-8806
296,당리괴정2호,부산 사하구 괴정동 577-42,051-207-9242
297,신평1호,부산 사하구 신평동 262-20,051-294-8853~4
298,장림,부산 사하구 장림동 590,051-266-1182
299,하단1호,부산 사하구 하단2동 506-15,051-202-4780~1
300,하단2호,부산 사하구 하단동 605-42,051-292-8592
301,국제신도시,부산 강서구 명지동 3412-6,051-291-9993
302,남부민,부산 서구 충무동2가 3-1,051-247-9282
303,대신,부산 서구 서대신동1가 163-1,051-231-9992~3
304,명지법원네오,부산 강서구 명지동 3432-1 2동 102호,051-201-1991
305,명지신도시,부산 강서구 명지동 3256-5,051-271-7725
306,송도감천,"부산 서구 암남동 64-2 상가동 108호,109호(암남동)",051-231-9292
307,신호,부산 강서구 신호동 317-15,051-941-9207
308,아미부민,부산 서구 부민동1가 11-3,051-242-3651
309,지사,부산 강서구 지사동 1191-5,051-831-6880
310,광안2호,부산 수영구 광안동 168-3,"051-754-2092,756-2092"
311,망미1호,부산 수영구 망미동 413-11,051-759-9925
312,민락(부산),부산 수영구 민락동 165-15,051-757-9294
313,수영,부산 수영구 수영동 503-23,051-761-4992
314,거제법조,부산 연제구 거제동 891-14,051-505-5511
315,시청(부산),부산 연제구 거제3동 34-19,051-851-9945
316,연산1호,부산 연제구 연산동 479-9,051-757-3532
317,연산2호,부산 연제구 연산4동 578-1 삼익아파트 상가 101호,051-853-9980~1
318,연산3호,부산 연제구 연산동 2133-48,051-851-7211~2
319,대교남항,부산 영도구 남항동1가 82,051-417-9999
320,동삼,부산 영도구 동삼동 219-146,051-405-9995
321,봉래영선,"부산 영도구 영선동1가 69-2, 69-3",051-417-9288
322,청학,부산 영도구  청학동 13-14,051-417-9996
323,남포부평,부산 중구 중앙동1가 23-6,051-253-7942
324,영주대청,부산 중구 대청동4가 82-13,051-441-4942
325,마린시티,부산 해운대구 우동 1434-2,051-731-1929
326,반송(부산),부산 해운대구 반송2동 216-150,051-545-9289
327,반여1호,부산 해운대구 반여동 1628-5,"051-524-1991,1221"
328,송정(부산),부산 해운대구 송정동 227-7,051-702-5006
329,우동1호,부산 해운대구 우동 1090-13,051-744-2474~5
330,재송1호,부산 해운대구 반여동 1291-1019,051-782-9989
331,재송2호,부산 해운대구 재송동 1083-10,051-784-9992
332,좌동1호,부산 해운대구 좌동 970,051-703-9917
333,좌동2호,부산 해운대구 좌동 1341-8,051-743-1995
334,좌동3호,부산 해운대구 좌동 1484-1,"051-704-9399,9599"
335,해운대역,부산 해운대구 우동 639-4,051-746-9288
336,계명,대구시 남구 양지로 107,053-626-9992
337,대명1호,대구 남구 대명동 1098-4,053-629-9994
338,봉덕,대구 남구 봉덕동 687-32,053-471-1222
339,앞산,대구 남구 대명동 780-3,053-657-9999
340,이천대봉,대구 남구 이천동 184-9,053-476-5800
341,감삼성당,대구 달서구 감삼동 317-3,"053-552-6999,622-9995"
342,대곡,대구 달서구 도원동 1442-2 1층 107호,053-635-3599
343,대곡2지구,대구 달서구 대곡동 1068,053-637-7556
344,두류,대구 달서구 두류동 620-12,053-525-1202
345,상인,대구 달서구 상인동 1555-1,053-637-6999
346,성서,대구 달서구 신당동 1761-5,053-583-6969
347,송현(대구),대구 달서구 송현1동 207-2,053-656-9945
348,신월성,대구 달서구 월성동 1264번지 트럼프스타 B/D 106호,053-634-9996
349,용산,대구 달서구 용산1동 954-6,"053-524-4999,8"
350,용산새방,대구 달서구 용산동 499-2,053-592-6999
351,월성,대구 달서구 본동 1135-4,053-571-9992
352,장기,대구 달서구 장기동 826-6,"053-523-0111, 0222"
353,진천(대구),대구 달서구 진천동 504,053-635-9992
354,호산파호,대구 달서구 호산동 357-116,053-592-5924
355,구지,대구 달성군 구지면 응암리 1204-2,053-615-2992
356,논공,대구 달성군 논공읍 북리 803-148,053-615-9945
357,다사,대구 달성군 다사읍 죽곡리 809-1,053-592-9991
358,명곡,대구 달성군 화원읍 명곡리 320-1,053-644-2999
359,서재세천,대구 달성군 다사읍 서재리 423-15,053-593-9902
360,옥포(대구),대구 달성군 옥포읍 교항리 2911,053-625-1991
361,테크노폴리스,대구 달성군 유가면 봉리 606 하이젠스타 115호,053-617-1991
362,화원,대구 달성군 화원읍 천내리 241-1,053-635-9981
363,대구혁신,대구 동구 각산동 1098-5 102호,053-955-1991
364,동구청,대구 동구 신암동 345-3,053-959-9950
365,동촌,대구 동구 검사동 1111,053-984-1999
366,동호,대구 동구 동호동 384-7,053-963-8558
367,방촌,대구 동구 방촌동 1118-121,053-983-3993
368,신천1호(대구),대구 동구 신천동 501-5,053-742-9985
369,신천2호,대구 동구 신청동 377-12,"053-741-9010,745-5363"
370,율하(대구),대구 동구 율하동 1311번지 102호,053-964-3347
371,이시아,대구 동구 봉무동 1543,053-755-9922
372,지묘,대구 동구 지묘동 808-3,053-985-1003
373,지저불로,대구 동구 지저동 833-15,053-981-5770
374,관음,대구 북구 관음동 1383-9,053-326-9998
375,구암,대구 북구 태전동 1074-6,"053-322-5844,323-9969"
376,금호지구,대구 북구 사수동 912,053-312-1990
377,동서변,대구 북구 동변동 669-4,053-958-9991
378,동천3지구,대구 북구 동천동 906-3,"053-321-0900,6551"
379,복현1호,대구 북구 복현동 426-5,053-953-3399
380,복현2호,대구 북구 복현동 539 -110 복현서한타운 상가 103호,053-383-9970
381,산격,대구 북구 산격동 1400-20,"053-383-1203, 1102"
382,신암대현,대구 북구 대현동 153-4,053-952-9992
383,연경,대구 북구 연경동 949-1,053-982-9292
384,원대노원,대구 북구 노원동3가 892-1,053-355-3306
385,읍내(대구),대구 북구 읍내동 1449 202동 103호,053-312-4499
386,칠성고성,대구 북구 칠성동2가 42-9,053-353-9400
387,침산,대구 북구 침산동 457-31,"053-356-9995,9905"
388,태전(대구),대구 북구 태전동 254-30,053-312-9980
389,팔달매천,대구 북구 매천동 682,"053-311-9910,9920"
390,학정,대구 북구 학정동 282-14,053-321-1991
391,감삼성당,대구 달서구 감삼동 317-3,"053-552-6999,622-9995"
392,내당,대구 서구 내당동 219-7,"053-522-9199, 555-9981"
393,달성비산,대구 서구 비산동 440-5,053-551-9925
394,대곡,대구 달서구 도원동 1442-2 1층 107호,053-635-3599
395,대곡2지구,대구 달서구 대곡동 1068,053-637-7556
396,두류,대구 달서구 두류동 620-12,053-525-1202
397,상인,대구 달서구 상인동 1555-1,053-637-6999
398,성서,대구 달서구 신당동 1761-5,053-583-6969
399,송현(대구),대구 달서구 송현1동 207-2,053-656-9945
400,신월성,대구 달서구 월성동 1264번지 트럼프스타 B/D 106호,053-634-9996
401,용산,대구 달서구 용산1동 954-6,"053-524-4999,8"
402,용산새방,대구 달서구 용산동 499-2,053-592-6999
403,월성,대구 달서구 본동 1135-4,053-571-9992
404,장기,대구 달서구 장기동 826-6,"053-523-0111, 0222"
405,진천(대구),대구 달서구 진천동 504,053-635-9992
406,평리,대구 서구 평리동 1217-2,053-556-9989
407,호산파호,대구 달서구 호산동 357-116,053-592-5924
408,만촌1호,대구 수성구 만촌동 849-2,053-745-7123
409,만촌2호,대구 수성구 만촌1동 1326-32,053-755-8592~1
410,범물,대구 수성구 범물동 1374-4,053-782-6464
411,범어1호,대구 수성구 범어동 203-18,053-742-9912
412,범어2호,대구 수성구 범어동 478-12,053-752-1991
413,수성(대구),대구 수성구 수성동4가 1022-11,053-743-3993
414,수성호수,대구 수성구 두산동 653-5,053-782-3335
415,시지1호,대구 수성구 매호동 1328-12,"053-792-9981,9927"
416,시지2호,대구 수성구 시지동 489-2,053-792-7729
417,시지3호,대구 수성구 신매동 593-4,053-791-8225
418,중동,대구 수성구 중동 258-3,053-765-9901~2
419,파동,대구 수성구 상동 380-2,"053-761-5901, 766-5419"
420,황금,대구 수성구 황금동 843-1,053-765-6999
421,남산대신,대구 중구 남산3동 2466-14,"053-255-9982,3"
422,중앙(대구),대구 중구 남일동 33-9,053-425-9919
423,강화,인천 강화군 강화읍 갑곳리 199-1,032-933-3244
424,계산1호,인천 계양구 계산동 1081-10,032-555-9980
425,계산2호,인천 계양구 계산동 61-2,032-551-5592
426,계산3호,인천 계양구 계산동 942-30,032-553-9289
427,임학박촌,인천 계양구 박촌동 52-3,"032-553-3999,556-3999"
428,작전1호,인천 계양구 작전동 149-1,032-547-8933
429,효성1호,"인천 계양구 효성1동 21-11 현대아파트 상가동 101호, 102호, 103호",032-544-6711~2
430,효성2호,인천 계양구 효성2동 273-3,032-542-9244
431,관교,인천 남구 관교동 321-5,032-441-9994~5
432,용현2동,인천 남구 용현동 558-32,032-889-1400
433,용현5동,인천 남구 용현동 630-45,032-888-9191
434,주안1호,인천 남구 주안동 1523-2,032-428-9592~3
435,학익1호,인천 남구 학익동 293-37,032-863-6363~4
436,간석1호,인천 남동구 구월동 70-80,"032-432-6765,6764"
